Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Jim Baird,Republican,House,Indiana,H8IN04199,4,true,Won General,false,2022,2023,2025
Pat Fallon,Republican,House,Texas,H0TX04219,4,true,Won General,false,2022,2023,2025
Scott DesJarlais,Republican,House,Tennessee,H0TN04195,4,true,Won General,false,2022,2023,2025
Bruce Westerman,Republican,House,Arkansas,H4AR04048,4,true,Won General,false,2022,2023,2025
Robert Aderholt,Republican,House,Alabama,H6AL04098,4,true,Won General,false,2022,2023,2025
Mark Alford,Republican,House,Missouri,H2MO04207,4,false,Won General,false,2022,2023,2025
Robert Aderholt,Republican,House,Alabama,H6AL04098,4,true,Won General,false,2024,2025,2027
Bruce Westerman,Republican,House,Arkansas,H4AR04048,4,true,Won General,false,2024,2025,2027
Kelly Cooper,Republican,House,Arizona,H2AZ09191,4,false,Lost General,false,2024,2025,2027
Lauren Boebert,Republican,House,Colorado,H0CO03165,4,false,Won General,false,2024,2025,2027
Joshua Morott,Republican,House,Louisiana,H4LA04034,4,false,Lost General,false,2024,2025,2027
Jim Baird,Republican,House,Indiana,H8IN04199,4,true,Won General,false,2024,2025,2027
Ron Estes,Republican,House,Kansas,H8KS04112,4,true,Won General,false,2024,2025,2027
Mike Johnson,Republican,House,Louisiana,H6LA04138,4,true,Won General,false,2024,2025,2027
Bill Huizenga,Republican,House,Michigan,H0MI02094,4,true,Won General,false,2024,2025,2027
Mark Alford,Republican,House,Missouri,H2MO04207,4,true,Won General,false,2024,2025,2027
John Lee,Republican,House,Nevada,H4NV04116,4,false,Lost General,false,2024,2025,2027
Jim Jordan,Republican,House,Ohio,H6OH04082,4,true,Won General,false,2024,2025,2027
Tom Cole,Republican,House,Oklahoma,H2OK04055,4,true,Won General,false,2024,2025,2027
William Timmons,Republican,House,South Carolina,H8SC04250,4,true,Won General,false,2024,2025,2027
Scott DesJarlais,Republican,House,Tennessee,H0TN04195,4,true,Won General,false,2024,2025,2027
Pat Fallon,Republican,House,Texas,H0TX04219,4,true,Won General,false,2024,2025,2027
Burgess Owens,Republican,House,Utah,H0UT04076,4,true,Won General,false,2024,2025,2027
Dan Newhouse,Republican,House,Washington,H4WA04104,4,true,Won General,false,2024,2025,2027
Jerrod Sessler,Republican,House,Washington,H2WA04165,4,false,Lost General,false,2024,2025,2027
Scott Fitzgerald,Republican,House,Wisconsin,H0WI05113,5,true,Won General,false,2022,2023,2025
Ralph Norman,Republican,House,South Carolina,H8SC05158,5,true,Won General,false,2022,2023,2025
Doug Lamborn,Republican,House,Colorado,H6CO05159,5,true,Won General,false,2022,2023,2025
Andy Biggs,Republican,House,Arizona,H6AZ05083,5,true,Won General,false,2022,2023,2025
Virginia Foxx,Republican,House,North Carolina,H4NC05146,5,true,Won General,false,2022,2023,2025
Bob Latta,Republican,House,Ohio,H8OH05036,5,true,Won General,false,2022,2023,2025
Lance Gooden,Republican,House,Texas,H8TX05144,5,true,Won General,false,2022,2023,2025
